"filename", "language", "JavaScript", "Python", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\laura\Desktop\softwareI\app.py", "Python", 0, 305, 0, 0, 35, 63, 403
"c:\Users\laura\Desktop\softwareI\static\css\admin.css", "CSS", 0, 0, 0, 28, 0, 0, 28
"c:\Users\laura\Desktop\softwareI\static\css\adminperfil.css", "CSS", 0, 0, 0, 10, 0, 2, 12
"c:\Users\laura\Desktop\softwareI\static\css\alerta.css", "CSS", 0, 0, 0, 20, 0, 4, 24
"c:\Users\laura\Desktop\softwareI\static\css\crud.css", "CSS", 0, 0, 0, 30, 2, 8, 40
"c:\Users\laura\Desktop\softwareI\static\css\editar.css", "CSS", 0, 0, 0, 36, 2, 9, 47
"c:\Users\laura\Desktop\softwareI\static\css\inicio.css", "CSS", 0, 0, 0, 143, 6, 24, 173
"c:\Users\laura\Desktop\softwareI\static\css\login.css", "CSS", 0, 0, 0, 79, 0, 10, 89
"c:\Users\laura\Desktop\softwareI\static\css\registro.css", "CSS", 0, 0, 0, 9, 0, 2, 11
"c:\Users\laura\Desktop\softwareI\static\js\alertas.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\laura\Desktop\softwareI\static\js\msj.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\laura\Desktop\softwareI\templates\administrador\administrador.html", "HTML", 0, 0, 32, 0, 1, 5, 38
"c:\Users\laura\Desktop\softwareI\templates\administrador\baseAdmin.html", "HTML", 0, 0, 35, 0, 0, 7, 42
"c:\Users\laura\Desktop\softwareI\templates\administrador\crud_admin.html", "HTML", 0, 0, 47, 0, 0, 5, 52
"c:\Users\laura\Desktop\softwareI\templates\administrador\editarUsuario.html", "HTML", 0, 0, 87, 0, 4, 14, 105
"c:\Users\laura\Desktop\softwareI\templates\administrador\productoEditar.html", "HTML", 0, 0, 48, 0, 0, 14, 62
"c:\Users\laura\Desktop\softwareI\templates\administrador\productos.html", "HTML", 0, 0, 43, 0, 0, 4, 47
"c:\Users\laura\Desktop\softwareI\templates\base.html", "HTML", 0, 0, 17, 0, 0, 7, 24
"c:\Users\laura\Desktop\softwareI\templates\comprador\baseComprador.html", "HTML", 0, 0, 33, 0, 0, 8, 41
"c:\Users\laura\Desktop\softwareI\templates\comprador\carrito.html", "HTML", 0, 0, 32, 0, 1, 2, 35
"c:\Users\laura\Desktop\softwareI\templates\comprador\comprador.html", "HTML", 0, 0, 32, 0, 1, 4, 37
"c:\Users\laura\Desktop\softwareI\templates\comprador\compras.html", "HTML", 0, 0, 36, 0, 0, 2, 38
"c:\Users\laura\Desktop\softwareI\templates\inicio.html", "HTML", 0, 0, 149, 0, 0, 22, 171
"c:\Users\laura\Desktop\softwareI\templates\login.html", "HTML", 0, 0, 31, 0, 0, 8, 39
"c:\Users\laura\Desktop\softwareI\templates\registro.html", "HTML", 0, 0, 102, 0, 4, 17, 123
"c:\Users\laura\Desktop\softwareI\templates\vendedor\baseVendedor.html", "HTML", 0, 0, 34, 0, 0, 7, 41
"c:\Users\laura\Desktop\softwareI\templates\vendedor\crud_producto.html", "HTML", 0, 0, 42, 0, 0, 4, 46
"c:\Users\laura\Desktop\softwareI\templates\vendedor\editarProducto.html", "HTML", 0, 0, 48, 0, 0, 14, 62
"c:\Users\laura\Desktop\softwareI\templates\vendedor\registroProducto.html", "HTML", 0, 0, 48, 0, 0, 12, 60
"c:\Users\laura\Desktop\softwareI\templates\vendedor\vendedor.html", "HTML", 0, 0, 32, 0, 1, 5, 38
"Total", "-", 15, 305, 928, 355, 57, 286, 1946
