"filename", "language", "HTML", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\laura\Desktop\CULTIVA\app.py", "Python", 0, 305, 0, 0, 35, 61, 401
"c:\Users\laura\Desktop\CULTIVA\static\css\admin.css", "CSS", 0, 0, 28, 0, 0, 0, 28
"c:\Users\laura\Desktop\CULTIVA\static\css\adminperfil.css", "CSS", 0, 0, 10, 0, 0, 2, 12
"c:\Users\laura\Desktop\CULTIVA\static\css\alerta.css", "CSS", 0, 0, 20, 0, 0, 4, 24
"c:\Users\laura\Desktop\CULTIVA\static\css\crud.css", "CSS", 0, 0, 30, 0, 2, 8, 40
"c:\Users\laura\Desktop\CULTIVA\static\css\editar.css", "CSS", 0, 0, 36, 0, 2, 9, 47
"c:\Users\laura\Desktop\CULTIVA\static\css\inicio.css", "CSS", 0, 0, 143, 0, 6, 24, 173
"c:\Users\laura\Desktop\CULTIVA\static\css\login.css", "CSS", 0, 0, 79, 0, 0, 10, 89
"c:\Users\laura\Desktop\CULTIVA\static\css\registro.css", "CSS", 0, 0, 9, 0, 0, 2, 11
"c:\Users\laura\Desktop\CULTIVA\static\js\alertas.js", "JavaScript", 0, 0, 0, 7, 0, 1, 8
"c:\Users\laura\Desktop\CULTIVA\static\js\msj.js", "JavaScript", 0, 0, 0, 8, 0, 2, 10
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\administrador.html", "HTML", 32, 0, 0, 0, 1, 5, 38
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\baseAdmin.html", "HTML", 35, 0, 0, 0, 0, 7, 42
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\crud_admin.html", "HTML", 47, 0, 0, 0, 0, 5, 52
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\editarUsuario.html", "HTML", 87, 0, 0, 0, 4, 14, 105
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\productoEditar.html", "HTML", 48, 0, 0, 0, 0, 14, 62
"c:\Users\laura\Desktop\CULTIVA\templates\administrador\productos.html", "HTML", 43, 0, 0, 0, 0, 4, 47
"c:\Users\laura\Desktop\CULTIVA\templates\base.html", "HTML", 17, 0, 0, 0, 0, 7, 24
"c:\Users\laura\Desktop\CULTIVA\templates\comprador\baseComprador.html", "HTML", 33, 0, 0, 0, 0, 8, 41
"c:\Users\laura\Desktop\CULTIVA\templates\comprador\carrito.html", "HTML", 32, 0, 0, 0, 1, 2, 35
"c:\Users\laura\Desktop\CULTIVA\templates\comprador\comprador.html", "HTML", 32, 0, 0, 0, 1, 4, 37
"c:\Users\laura\Desktop\CULTIVA\templates\comprador\compras.html", "HTML", 36, 0, 0, 0, 0, 2, 38
"c:\Users\laura\Desktop\CULTIVA\templates\inicio.html", "HTML", 149, 0, 0, 0, 0, 22, 171
"c:\Users\laura\Desktop\CULTIVA\templates\login.html", "HTML", 31, 0, 0, 0, 0, 8, 39
"c:\Users\laura\Desktop\CULTIVA\templates\registro.html", "HTML", 102, 0, 0, 0, 4, 17, 123
"c:\Users\laura\Desktop\CULTIVA\templates\vendedor\baseVendedor.html", "HTML", 34, 0, 0, 0, 0, 7, 41
"c:\Users\laura\Desktop\CULTIVA\templates\vendedor\crud_producto.html", "HTML", 42, 0, 0, 0, 0, 4, 46
"c:\Users\laura\Desktop\CULTIVA\templates\vendedor\editarProducto.html", "HTML", 48, 0, 0, 0, 0, 14, 62
"c:\Users\laura\Desktop\CULTIVA\templates\vendedor\registroProducto.html", "HTML", 48, 0, 0, 0, 0, 12, 60
"c:\Users\laura\Desktop\CULTIVA\templates\vendedor\vendedor.html", "HTML", 32, 0, 0, 0, 1, 5, 38
"Total", "-", 928, 305, 355, 15, 57, 284, 1944
